Column1,Unnamed: 0,Name,City,CuisineStyle,Ranking,Rating,PriceRange,NumberofReviews,Reviews,URL_TA,ID_TA,lat,lng
0,0,Martine of Martines Table,Amsterdam,French,1,5,$$ - $$$,136,"[[Just like home, A Warm Welcome to Wintry Amsterdam], [01/03/2018, 01/01/2018]]",/Restaurant_Review-g188590-d11752080-Reviews-Martine_of_Martine_s_Table-Amsterdam_North_Holland_Province.html,d11752080,52.37501,4.89992
0,0,Martine of Martines Table,Amsterdam,Dutch,1,5,$$ - $$$,136,"[[Just like home, A Warm Welcome to Wintry Amsterdam], [01/03/2018, 01/01/2018]]",/Restaurant_Review-g188590-d11752080-Reviews-Martine_of_Martine_s_Table-Amsterdam_North_Holland_Province.html,d11752080,52.37501,4.89992
0,0,Martine of Martines Table,Amsterdam,European,1,5,$$ - $$$,136,"[[Just like home, A Warm Welcome to Wintry Amsterdam], [01/03/2018, 01/01/2018]]",/Restaurant_Review-g188590-d11752080-Reviews-Martine_of_Martine_s_Table-Amsterdam_North_Holland_Province.html,d11752080,52.37501,4.89992
1,1,De Silveren Spiegel,Amsterdam,Dutch,2,4.5,$$$$,812,"[[Great food and staff, just perfect], [01/06/2018, 01/04/2018]]",/Restaurant_Review-g188590-d693419-Reviews-De_Silveren_Spiegel-Amsterdam_North_Holland_Province.html,d693419,38.89037,-77.03196
1,1,De Silveren Spiegel,Amsterdam,European,2,4.5,$$$$,812,"[[Great food and staff, just perfect], [01/06/2018, 01/04/2018]]",/Restaurant_Review-g188590-d693419-Reviews-De_Silveren_Spiegel-Amsterdam_North_Holland_Province.html,d693419,38.89037,-77.03196
1,1,De Silveren Spiegel,Amsterdam,Vegetarian Friendly,2,4.5,$$$$,812,"[[Great food and staff, just perfect], [01/06/2018, 01/04/2018]]",/Restaurant_Review-g188590-d693419-Reviews-De_Silveren_Spiegel-Amsterdam_North_Holland_Province.html,d693419,38.89037,-77.03196
1,1,De Silveren Spiegel,Amsterdam,Gluten Free Options,2,4.5,$$$$,812,"[[Great food and staff, just perfect], [01/06/2018, 01/04/2018]]",/Restaurant_Review-g188590-d693419-Reviews-De_Silveren_Spiegel-Amsterdam_North_Holland_Province.html,d693419,38.89037,-77.03196
2,2,La Rive,Amsterdam,Mediterranean,3,4.5,$$$$,567,"[[Satisfaction, Delicious old school restaurant], [01/04/2018, 01/04/2018]]",/Restaurant_Review-g188590-d696959-Reviews-La_Rive-Amsterdam_North_Holland_Province.html,d696959,52.36002,4.90546
2,2,La Rive,Amsterdam,French,3,4.5,$$$$,567,"[[Satisfaction, Delicious old school restaurant], [01/04/2018, 01/04/2018]]",/Restaurant_Review-g188590-d696959-Reviews-La_Rive-Amsterdam_North_Holland_Province.html,d696959,52.36002,4.90546
2,2,La Rive,Amsterdam,International,3,4.5,$$$$,567,"[[Satisfaction, Delicious old school restaurant], [01/04/2018, 01/04/2018]]",/Restaurant_Review-g188590-d696959-Reviews-La_Rive-Amsterdam_North_Holland_Province.html,d696959,52.36002,4.90546
2,2,La Rive,Amsterdam,European,3,4.5,$$$$,567,"[[Satisfaction, Delicious old school restaurant], [01/04/2018, 01/04/2018]]",/Restaurant_Review-g188590-d696959-Reviews-La_Rive-Amsterdam_North_Holland_Province.html,d696959,52.36002,4.90546
2,2,La Rive,Amsterdam,Vegetarian Friendly,3,4.5,$$$$,567,"[[Satisfaction, Delicious old school restaurant], [01/04/2018, 01/04/2018]]",/Restaurant_Review-g188590-d696959-Reviews-La_Rive-Amsterdam_North_Holland_Province.html,d696959,52.36002,4.90546
2,2,La Rive,Amsterdam,Vegan Options,3,4.5,$$$$,567,"[[Satisfaction, Delicious old school restaurant], [01/04/2018, 01/04/2018]]",/Restaurant_Review-g188590-d696959-Reviews-La_Rive-Amsterdam_North_Holland_Province.html,d696959,52.36002,4.90546
3,3,Vinkeles,Amsterdam,French,4,5,$$$$,564,"[[True five star dinner, A superb evening of fine dining, hospitali...], [12/20/2017, 12/17/2017]]",/Restaurant_Review-g188590-d1239229-Reviews-Vinkeles-Amsterdam_North_Holland_Province.html,d1239229,52.36927,4.88434
3,3,Vinkeles,Amsterdam,European,4,5,$$$$,564,"[[True five star dinner, A superb evening of fine dining, hospitali...], [12/20/2017, 12/17/2017]]",/Restaurant_Review-g188590-d1239229-Reviews-Vinkeles-Amsterdam_North_Holland_Province.html,d1239229,52.36927,4.88434
3,3,Vinkeles,Amsterdam,International,4,5,$$$$,564,"[[True five star dinner, A superb evening of fine dining, hospitali...], [12/20/2017, 12/17/2017]]",/Restaurant_Review-g188590-d1239229-Reviews-Vinkeles-Amsterdam_North_Holland_Province.html,d1239229,52.36927,4.88434
3,3,Vinkeles,Amsterdam,Contemporary,4,5,$$$$,564,"[[True five star dinner, A superb evening of fine dining, hospitali...], [12/20/2017, 12/17/2017]]",/Restaurant_Review-g188590-d1239229-Reviews-Vinkeles-Amsterdam_North_Holland_Province.html,d1239229,52.36927,4.88434
3,3,Vinkeles,Amsterdam,Vegetarian Friendly,4,5,$$$$,564,"[[True five star dinner, A superb evening of fine dining, hospitali...], [12/20/2017, 12/17/2017]]",/Restaurant_Review-g188590-d1239229-Reviews-Vinkeles-Amsterdam_North_Holland_Province.html,d1239229,52.36927,4.88434
3,3,Vinkeles,Amsterdam,Vegan Options,4,5,$$$$,564,"[[True five star dinner, A superb evening of fine dining, hospitali...], [12/20/2017, 12/17/2017]]",/Restaurant_Review-g188590-d1239229-Reviews-Vinkeles-Amsterdam_North_Holland_Province.html,d1239229,52.36927,4.88434
3,3,Vinkeles,Amsterdam,Gluten Free Options,4,5,$$$$,564,"[[True five star dinner, A superb evening of fine dining, hospitali...], [12/20/2017, 12/17/2017]]",/Restaurant_Review-g188590-d1239229-Reviews-Vinkeles-Amsterdam_North_Holland_Province.html,d1239229,52.36927,4.88434
4,4,Librijes Zusje Amsterdam,Amsterdam,Dutch,5,4.5,$$$$,316,"[[Best meal.... EVER, super food experience], [01/06/2018, 01/04/2018]]",/Restaurant_Review-g188590-d6864170-Reviews-Librije_s_Zusje_Amsterdam-Amsterdam_North_Holland_Province.html,d6864170,52.36488,4.8974
4,4,Librijes Zusje Amsterdam,Amsterdam,European,5,4.5,$$$$,316,"[[Best meal.... EVER, super food experience], [01/06/2018, 01/04/2018]]",/Restaurant_Review-g188590-d6864170-Reviews-Librije_s_Zusje_Amsterdam-Amsterdam_North_Holland_Province.html,d6864170,52.36488,4.8974
4,4,Librijes Zusje Amsterdam,Amsterdam,International,5,4.5,$$$$,316,"[[Best meal.... EVER, super food experience], [01/06/2018, 01/04/2018]]",/Restaurant_Review-g188590-d6864170-Reviews-Librije_s_Zusje_Amsterdam-Amsterdam_North_Holland_Province.html,d6864170,52.36488,4.8974
4,4,Librijes Zusje Amsterdam,Amsterdam,Vegetarian Friendly,5,4.5,$$$$,316,"[[Best meal.... EVER, super food experience], [01/06/2018, 01/04/2018]]",/Restaurant_Review-g188590-d6864170-Reviews-Librije_s_Zusje_Amsterdam-Amsterdam_North_Holland_Province.html,d6864170,52.36488,4.8974
4,4,Librijes Zusje Amsterdam,Amsterdam,Vegan Options,5,4.5,$$$$,316,"[[Best meal.... EVER, super food experience], [01/06/2018, 01/04/2018]]",/Restaurant_Review-g188590-d6864170-Reviews-Librije_s_Zusje_Amsterdam-Amsterdam_North_Holland_Province.html,d6864170,52.36488,4.8974
4,4,Librijes Zusje Amsterdam,Amsterdam,Gluten Free Options,5,4.5,$$$$,316,"[[Best meal.... EVER, super food experience], [01/06/2018, 01/04/2018]]",/Restaurant_Review-g188590-d6864170-Reviews-Librije_s_Zusje_Amsterdam-Amsterdam_North_Holland_Province.html,d6864170,52.36488,4.8974
6,6,Zazas,Amsterdam,French,7,4.5,$$ - $$$,1455,"[[40th Birthday with my Family, One of the best meals ever!], [01/07/2018, 01/05/2018]]",/Restaurant_Review-g188590-d1014732-Reviews-Zaza_s-Amsterdam_North_Holland_Province.html,d1014732,52.37043,4.89526
6,6,Zazas,Amsterdam,International,7,4.5,$$ - $$$,1455,"[[40th Birthday with my Family, One of the best meals ever!], [01/07/2018, 01/05/2018]]",/Restaurant_Review-g188590-d1014732-Reviews-Zaza_s-Amsterdam_North_Holland_Province.html,d1014732,52.37043,4.89526
6,6,Zazas,Amsterdam,Mediterranean,7,4.5,$$ - $$$,1455,"[[40th Birthday with my Family, One of the best meals ever!], [01/07/2018, 01/05/2018]]",/Restaurant_Review-g188590-d1014732-Reviews-Zaza_s-Amsterdam_North_Holland_Province.html,d1014732,52.37043,4.89526
6,6,Zazas,Amsterdam,European,7,4.5,$$ - $$$,1455,"[[40th Birthday with my Family, One of the best meals ever!], [01/07/2018, 01/05/2018]]",/Restaurant_Review-g188590-d1014732-Reviews-Zaza_s-Amsterdam_North_Holland_Province.html,d1014732,52.37043,4.89526
6,6,Zazas,Amsterdam,Vegetarian Friendly,7,4.5,$$ - $$$,1455,"[[40th Birthday with my Family, One of the best meals ever!], [01/07/2018, 01/05/2018]]",/Restaurant_Review-g188590-d1014732-Reviews-Zaza_s-Amsterdam_North_Holland_Province.html,d1014732,52.37043,4.89526
6,6,Zazas,Amsterdam,Vegan Options,7,4.5,$$ - $$$,1455,"[[40th Birthday with my Family, One of the best meals ever!], [01/07/2018, 01/05/2018]]",/Restaurant_Review-g188590-d1014732-Reviews-Zaza_s-Amsterdam_North_Holland_Province.html,d1014732,52.37043,4.89526
6,6,Zazas,Amsterdam,Gluten Free Options,7,4.5,$$ - $$$,1455,"[[40th Birthday with my Family, One of the best meals ever!], [01/07/2018, 01/05/2018]]",/Restaurant_Review-g188590-d1014732-Reviews-Zaza_s-Amsterdam_North_Holland_Province.html,d1014732,52.37043,4.89526
7,7,Blue Pepper Restaurant And Candlelight Cruises,Amsterdam,Asian,8,4.5,$$$$,675,"[[Great Experience, A true delight], [01/08/2018, 01/07/2018]]",/Restaurant_Review-g188590-d697058-Reviews-Blue_Pepper_Restaurant_And_Candlelight_Cruises-Amsterdam_North_Holland_Province.html,d697058,52.36585,4.87823
